name,name2,streetNumber,street,zip,city,region,country,lat,lng
Dr Lari Nicolas,Cabinet Medical,55BIS,Boulevard Rodocanachi,13008,Marseille,Bouches-du-Rhone,France,43.274653,5.387009
Dr Malet Thierry,Centre Paradis Monticelli,433,Rue Paradis,13008,Marseille,Bouches-du-Rhone,France,43.273631,5.385361
Dr Royer Emmanuelle,,8,Rue Farges,13008,Marseille,Bouches-du-Rhone,France,43.280912,5.385514
Dr Weiller Merli Claude,Le Ribera E,376,Avenue du Prado,13008,Marseille,Bouches-du-Rhone,France,43.270150,5.387222
Dr le Pillouer Anne,,255,Avenue du Prado,13008,Marseille,Bouches-du-Rhone,France,43.274374,5.390671
Dr le Pillouer-Prost Anne,Le Grand Prado B,20 BIS,Allee Turcat Mery,13008,Marseille,Bouches-du-Rhone,France,43.280662,5.388153
Selasu Korchia,,429,Rue Paradis,13008,Marseille,Bouches-du-Rhone,France,43.273983,5.385140
Dr Romano-Arnal Marie Helene,,294,Avenue de la Capelette,13010,Marseille,Bouches-du-Rhone,France,43.280784,5.407904
Dr Jaafari Nadia,,97,Av William Booth,13012,Marseille,Bouches-du-Rhone,France,43.296188,5.446719
Selarl Dr la Grassa Sandrine,Cabinet Medical,245,Avenue de Montolivet,13012,Marseille,Bouches-du-Rhone,France,43.315175,5.414624
Dermopolis,Dr Fourcade Roch Sabrina,15,Rue du Docteur Zamenhof,13016,Marseille,Bouches-du-Rhone,France,43.359158,5.322484
Dr Vladau Laurenti George,,235,Allée Nicolas de Stael,13080,Aix en Provence,Bouches-du-Rhone,France,43.502510,5.437518
Dr Navarro Catherine,,1890,Route Equilles,13090,Aix en Provence,Bouches-du-Rhone,France,43.539966,5.407771
Selarl du Dr Vladau Georges,Cabinet Medical,25,Rue Pascal Fieschi,13090,Aix en Provence,Bouches-du-Rhone,France,43.509300,5.440054
Dr Bereni Natacha,,9,Avenue Malacrida,13100,Aix en Provence,Bouches-du-Rhone,France,43.516999,5.466021
Dr Caquant Ludovic,Hall A 2éme Étage,50,Rue du Docteur Fernand Aurientis,13100,Aix en Provence,Bouches-du-Rhone,France,43.530412,5.458113
Dr Luneau Christine,,17,Avenue d'Indochine,13100,Aix en Provence,Bouches-du-Rhone,France,43.532556,5.439801
Dr Dumont Nathalie,,26,Avenue Charles de Gaulle,13122,Ventabren,,France,43.542083,5.296265
Calisix,Dr Widemann Vincent,80,Route de Chateaurenard,13190,Maillanne,Bouches-du-Rhone,France,43.329346,5.475794
Dr Ginoux Emmanuelle,Cabinet Medical Bat 3 Rdc,7,Chemin du Mont Gibaou,13260,Cassis,Bouches-du-Rhone,France,43.236777,5.560163
Dr Ginoux Emmanuelle,,13,Chemin du Mont Gibaou,13260,Cassis,Bouches-du-Rhone,France,43.236557,5.560897
Dr Astrion Marine,,8,Impasse du Serre,13290,Les Milles,Bouches-du-Rhone,France,43.500925,5.386571
Dr Jeanblanc Gerard,,415,Rue Claude Nicolas Ledoux,13290,Aix en Provence,Bouches-du-Rhone,France,43.481593,5.387003
Dr Baroudi Oussama,Gemelia,365,Chemin Camp de Sarlier,13400,Aubagne,Bouches-du-Rhone,France,43.295149,5.587235
Dr Durand Tiphanie,,1,Bd Victor Jauffret,13450,Grans,Bouches-du-Rhone,France,43.607591,5.063639
Dr Tundidor Annie,,2,Rue Paul Baptistin Lombard,13500,Martigues,Bouches-du-Rhone,France,43.402030,5.055543
Selarl Dr Herault-Bardin Fabienne,,1,Avenue Salvador Allende,13500,Martigues,Bouches-du-Rhone,France,43.408895,5.056442
Dr Baude Anais,,15,"Avenue Mirabeau, Place Mandela",13530,Trets,Bouches-du-Rhone,France,43.447486,5.682588
Dr Klein Doris,Cabinet Medical,350,Avenue Touloubre,13540,Puyricard,Bouches-du-Rhone,France,43.579400,5.420580
Dr Martins Elsa,Cabinet Medical du Soleil,3725,Route du Puy Sainte Reparade,13540,Puyricard,Bouches-du-Rhone,France,43.589609,5.431906
Dr Barberin Jean-Marc,Cabinet Medical,96,Avenue Camugli,13600,La Ciotat,Bouches-du-Rhone,France,43.182985,5.613561
Dr Aiouaz Kamel,Clinique Marignane,,Avenue du General Raoul Salan,13700,Marignane,Bouches-du-Rhone,France,43.404358,5.216681
Dr Suppin Gerard,L'Atrium,10,Boulevard Jean Marie l'Huillier,13800,Istres,Bouches-du-Rhone,France,43.512257,4.985024
Dr Brajon Delphine,Bat F,390,Avenue des Moulins,13820,Ensues la Redonne,Bouches-du-Rhone,France,43.356893,5.196841
Dr Berger Patricia,Cabinet Medical,25,Rue Saint Jean,14000,Caen,Calvados,France,49.182587,-0.359813
Dr Labbe Daniel,,4,Place Fontette,14000,Caen,Calvados,France,49.181946,-0.371066
Dr Marie Eric,,98,Boulevard Mal Lyautey,14000,Caen,Calvados,France,49.168398,-0.361400
Dr Michel Sabine,,36,Avenue de l'Hippodrome,14000,Caen,Calvados,France,49.178608,-0.367802
Dr Sheykhan Romuald,,36,Avenue  de l'Hippodrome,14000,Caen,Calvados,France,49.178608,-0.367802
Dr Acher Aurelie,Ch Prive St Martin,18,Rue des Roquemonts,14050,Caen Cedex 4,Calvados,France,49.198099,-0.381343
Dr Moreau Guillaume,,10,Rue Jane Addams,14280,Saint Contest,Calvados,France,49.207044,-0.390508
Dr Morice-Notini Aurore,,10,Rue Janne Addams,14280,Saint Contest,Calvados,France,49.207044,-0.390508
Mdb Synergia Strasman,,1,Rue du Bocage,14460,Colombelles,Calvados,France,49.191577,-0.303960
Dr Sghaier Yassine,,1,Rue Marthe Gautier,14610,Epron,Calvados,France,49.221449,-0.360090
Dr Stéphanie Harel Loree,,4,Rue Hubertine Auclert,14610,Epron,Calvados,France,49.221656,-0.366544
Dr Auzerie Valerie,Clinique St Joseph-Serv Dermat,51,Avenue du President Wilson,16000,Angouleme,Charente,France,45.649705,0.147130
Dr Dannepond Carole,Centre Clinical Elsan,2,Chemin de Fregeneuil,16800,Soyaux,Charente,France,45.637612,0.201631
Dr Bonneric-Malthieu Felicia,Centre Dermatlantique,36 BIS,Rue Montcalm,17000,La Rochelle,Charente-Maritime,France,46.162296,-1.219375
Dr Brouard Laure,Cabinet Medical,14,Avenue de Copenhague,17000,La Rochelle,Charente-Maritime,France,46.169707,-1.188338
Dr Courrian Laurence,Cabinet Medical,1,Rue Marthe Pineau,17000,La Rochelle,Charente-Maritime,France,46.174623,-1.132663
Dr Hind Laanait,,6,Rue Montcalm,17000,La Rochelle,Charente-Maritime,France,46.162362,-1.219066
Dr Collin Erwan,Cabinet Medical,2,Allee de Bruxelles,17028,La Rochelle Cedex,Charente-Maritime,France,46.165305,-1.178665
Dr Chekkoury Idrissi Hassan,Cabinet Medical,144,Rue de la Boule,17100,Saintes,Charente-Maritime,France,45.755927,-0.638924
Dr Bertrand Bruno,Cabinet Orl Clinique Atlantique,26,Rue du Moulin des Justices,17138,Puilboreau,Charente-Maritime,France,46.173597,-1.126677
Dr Doucet Sandrine,Cabinet Medical,3 BIS,Rue des Cerisiers,17200,Royan,Charente-Maritime,France,45.649035,-1.025776
Selarl du Cabinet Dr Rabaud-Carrie,,3,Rue Claude Bernard,17200,Royan,Charente-Maritime,France,45.654042,-1.023669
Dr Labrousse Sonia,,3,Avenue Maréchal Foch,19100,Brive-la-Gaillarde,Correze,France,45.161142,1.535124
Dr Belcour Jacques,,2,Rue des Troubadours,19200,Ussel,Correze,France,45.548138,2.309677
Dr Leschi Michel,,,Boulevard Louis Campi,20000,Ajaccio,Corse-du-Sud,France,41.919587,8.735272
Dr Mounicq Francoise,Centre Laser Darcy,14,Boulevard de Sevigne,21000,Dijon,Cote-d'Or,France,47.322717,5.030702
Dr Mounicq Françoise,Centre Laser Darcy,18,Rue Mariotte,21000,Dijon,Cote-d'Or,France,47.322129,5.031464
Dr Brindejonc Diallo Laurence,,4,Rue Bizet,22000,Saint-Brieuc,Cotes-d'Armor,France,48.521051,-2.751816
Dr Emilie Beck Robert,,1,Place 74eme Rit,22000,Saint Brieuc,Cotes-d'Armor,France,48.510378,-2.766857
Selarl Dr Allafort Jérémy,,23,Boulevard Bertran de Born,24000,Perigueux,Dordogne,France,45.179553,0.717468
Dr Devred Dominique,,13,Rue Arthur Bourdin,25300,Pontarlier,Doubs,France,46.902050,6.347304
Aever Clinics France,,8,Rue Baudin,26000,Valence,Drome,France,44.933323,4.897278
Dr Champin Julie,,317,Avenue Victor Hugo,26000,Valence,Drome,France,44.916727,4.885367
Dr Delemps Christophe,,49,Avenue des Langories,26000,Valence,Drome,France,44.904374,4.905192
Dr Guillermin Dominique,,125,Avenue Maurice Faure,26000,Valence,Drome,France,44.919809,4.884206
Dr Mezzine Hicham Selarl,Cabinet Medical,8,Place de la République,26000,Valence,Drome,France,44.930306,4.890814
Dr Lago Sarzier Sylvie,06 88 79 43 43,28,Avenue Emile Zola,26100,Romans-sur-Isere,Drome,France,45.050569,5.058343
Dr Chandezon Jacques,,59,Route d'Allan,26200,Montelimar,Drome,France,44.538056,4.763610
Dr Puechguiral Isabelle,Bat Occitan Entree B,,Avenue du 45eme Rt,26200,Montelimar,Drome,France,44.553424,4.745639
Dr Fraissinet-Gernot Beatrice,Cabinet Medical,425,Rue Clement Ader le Long Buisso,27000,Evreux,Eure,France,49.014066,1.181384
Dr Floch Nancy,Cabinet Medical,4,Rue Leureou - Zone de Kerlic,29000,Quimper,Finistere,France,48.013299,-4.071564
Dr Grangier Yann,,2,Rue Pitre Chevalier,29000,Quimper,Finistere,France,47.971753,-4.090941
Dr Scouarnnec Pauline,,4 BIS,Allée Urbain Couchouren,29000,Quimper,Finistere,France,47.994475,-4.099205
Dr le Gall Marie Joseph,,32,Rue de Brest,29000,Quimper,Finistere,France,47.997466,-4.099859
Dr Calvez Annie,,46,Rue Eric Tabarly,29300,Quimperle,Finistere,France,47.867462,-3.574740
Dr Aufrere Dubourd Veronique,Cde Porte 45a61,1,Rue Vincent Faita,30000,Nimes,Gard,France,43.840456,4.365436
Dr Renuy Francois,Cabinet Medical le Vivaldi,30,Avenue de Stalingrad,30100,Ales,Gard,France,44.124903,4.088677
Dr Basseres Nathalie,Le Carré Medical,490,Rue Yves Sigal,30900,Nimes,Gard,France,43.814610,4.354460
Dr Bihl Thierry Selarl,Le Meridien,480,Avenue Saint Andre de Codols,30900,Nimes,Gard,France,43.815677,4.356403
Dr Bodnar Martial,,25,Rue Alsace Lorraine,31000,Toulouse,Garonne (Haute),France,43.602088,1.445577
Dr Cambon Laurent,,41,Rue de la Balance,31000,Toulouse,Garonne (Haute),France,43.614100,1.440069
Dr Clary Isabelle,Cabinet Medical,14,Rue Idrac,31000,Toulouse,Garonne (Haute),France,43.600936,1.453552
Dr de la Chaussee Isabelle,Centre Laser Willson,7,Place du President Thomas  Wilson,31000,Toulouse,Garonne (Haute),France,43.604426,1.447007
Dr Baron Nadine,,286,Avenue de l'Ardenne,31100,Toulouse,Garonne (Haute),France,43.583707,1.373197
Dr Cyrus Robiolle,,116,Route d'Espagne,31100,Toulouse,Garonne (Haute),France,43.570874,1.424302
Scm Cets,Dr Duly Robiolle Lafaye,116,Route d'Espagne,31100,Toulouse,Garonne (Haute),France,43.570874,1.424302
Dr Szternberg Anaelle,Centre G&s,53,Route de Lavaur,31240,L'Union,Garonne (Haute),France,43.637525,1.498719
Selarl Dr  Royer Albagnac Monique,Cabinet Medical,29,Chemin de la Violette,31240,L'Union,Garonne (Haute),France,43.663678,1.463113
Dr Gassia Veronique,,23,Allee Charles de Fitte,31300,Toulouse,Garonne (Haute),France,43.595107,1.432544
Dr Fabie Boulard Aurelie,,46,Route de Narbonne,31320,Auzeville-Tolosane,Garonne (Haute),France,43.529856,1.488842
Dr Gueganton Corinne,,17,Route de Revel,31400,Toulouse,Garonne (Haute),France,43.577908,1.485432
Dr Philippe Frey,,12,Av de l'Aerodrome de Montaudran,31400,Toulouse,Garonne (Haute),France,43.571340,1.481014
Scm Saboye-Lavigne-Wagner,,54,Allee  des Demoiselles,31400,Toulouse,Garonne (Haute),France,43.588918,1.457173
Dr Patricia Bourgeois,,25,Rue Charles Garnier,31500,Toulouse,Garonne (Haute),France,43.609294,1.479222
Selarl Marie-Pierre Labarthe,,172,Avenue Jean Rieux,31500,Toulouse,Garonne (Haute),France,43.603133,1.472920
Dr Campourcy Muriel,Scm Centre de Dermatologie,153,Avenue Jacques Douzans,31600,Muret,Garonne (Haute),France,43.467728,1.328107
Scm Centre de Dermatologie,Dr Campourcy,153,Avenue Jacques Douzans,31600,Muret,,France,43.467728,1.328107
Dr Yazbeck Rima,Eden Clinic Of Beauty,55,L'Occitane,31670,Labege,Garonne (Haute),France,43.550456,1.501185
Dr Bravi Serge,Clinique des Cedres 1er et,,Chateau d'Alliez,31700,Cornebarrieu,Garonne (Haute),France,43.663007,1.344291
Dr Combret-Kobuch Catherine,,4,Cheminement de la Sarriette,31700,Blagnac,Garonne (Haute),France,43.648944,1.371503
Lumac,Dr Choquet Marie,6,Boulevard de l'Europe,31700,Beauzelle,Garonne (Haute),France,43.661278,1.368334
Dr Azencot Armand,Clinique Ferrère,16TER,Rue Ferrere,33000,Bordeaux,Gironde,France,44.848063,-0.572164
Dr Lavocat Emma,Anthèse,9,Rue du Colisée,33000,Bordeaux,Gironde,France,44.847196,-0.582179
Dr Vezon Geraldine,Cabinet Medical,36,Rue Jean Renaud Dandicolle,33000,Bordeaux,Gironde,France,44.832768,-0.586152
Dr Vincent Cante,,105,Rue Belleville,33000,Bordeaux,Gironde,France,44.833869,-0.585057
Selarl Lc-Lc.ea,,23,Rue Edmond Michelet,33000,Bordeaux,Gironde,France,44.840177,-0.581538
Dr Knaebel Virginie,Cabinet Medical,8,Rue  Bert,33110,Le Bouscat,Gironde,France,44.864328,-0.600334
Dr Nzong Alain,Cabinet Medical - Bat C2 Appt 009,121,Avenue des Pyrénées,33140,Villenave-d'Ornon,Gironde,France,44.765936,-0.562652
Selarl Docteur Couvet,,26,Rue Claude Bernard,33160,Saint Medard en Jalles,Gironde,France,44.876707,-0.696811
Dr Baspeyras Martine,,45,Avenue Bel Air,33200,Bordeaux,Gironde,France,44.841194,-0.607995
Dr Blaquiere Raphael,,59,Avenue Carnot,33200,Bordeaux,Gironde,France,44.852307,-0.598710
Dr Cambefort-Bayle Armelle,Cabinet Medical,9,Rue de Sandillan,33200,Le Taillan Medoc,Gironde,France,44.905069,-0.671531
Dr Falkenrodt Franck,,59,Avenue Carnot,33200,Bordeaux,Gironde,France,44.852307,-0.598710
Dr Handiri-Gencel Latifa,,33,Avenue Raymond Poincare,33200,Bordeaux,Gironde,France,44.844663,-0.620263
Dr Reau Anne Francois,Cabinet Bella Vitae,32,Avenue Charles de Gaulle,33200,Bordeaux,Gironde,France,44.848933,-0.599517
Sas Cleo Medical,,12,Rue Falquet,33200,Bordeaux,Gironde,France,44.856183,-0.615268
Dr Dicharry Pauline,,112,Avenue Charles de Gaulles,33260,La Teste de Buch,Gironde,France,44.637151,-1.127192
Dr Merigou Gomez Delphine,3a Park Agora,47,Rue Lagrua,33260,La-Teste-de-Buch,Gironde,France,44.639069,-1.154405
Dr Kouto Alexandre,Cabinet Medical,9,Avenue de l'Europe,33290,Blanquefort,Gironde,France,44.911297,-0.642830
Selarl Calluaud Maxillo,,24,Rue des Cavailles,33310,Lormont,Gironde,France,44.864792,-0.521635
Rejuvskin,Dr Darty Stephane,1,Za du Grand Chemin,33370,Yvrac,Gironde,France,44.869094,-0.466912
Dr Héloïse Barailler,,341,Avenue de Verdun,33700,Merignac,Gironde,France,44.839372,-0.632510
Selarl Durand-Bonis Betty,Cabinet Medical,54,Avenue de Certes,33980,Audenge,Gironde,France,44.690262,-1.020797
Dr Galmiche Sophie - Chirur Max Fac,Hopital Gui de Chauliac 3 Étage,80,Rue Augustin Fliche,34000,Montpellier,Herault,France,43.610285,3.879948
Dr Hind Benakki,Clinique de Beaute,310,Avenue Joan Miro,34000,Montpellier,Herault,France,43.600450,3.908523
Dr Jammet Patrick,Cabinet Coem,335,Rue Louis Lepine,34000,Montpellier,Herault,France,43.612856,3.909075
Selarl Guillaume Carles,,2,Rue des Etuves,34000,Montpellier,Herault,France,43.608143,3.878595
Selarl Jnj Santé,Dr Nadal Jérémy,266,Place E. Granier - l'Arche Coeu,34000,Montpellier,Herault,France,43.601467,3.900492
Selarl Benguigui,,115,Rue de la Haye,34080,Montpellier,Herault,France,43.629309,3.818639
Sas Med Innov Pole Med- Ophta 34,Ophta 34,30,Rue Saint-Exupéry,34130,Mauguio,Herault,France,43.589854,3.935367
Dr Granier Pascal,Centre Medical Castrimed,65,Avenue des Gardians,34160,Castries,Herault,France,43.670162,3.971743
Dr  Alizee  Guyon Llanos,Pole Santé Thau Étage 5,310,Avenue du Maréchal Juin,34200,Sete,Herault,France,43.408220,3.704070
Dr Coste Fattoum Nadia,Zac du Capiscol,8,Boulevard du Vesuve,34300,Agde,Herault,France,43.305806,3.496019
Dr Avignon Simon Cmf,Clinique Causse - Pharmacie,3,Traverse de Beziers,34440,Colombiers,Herault,France,43.313579,3.145229
Dr Corpelet Denis,Clinique Causse,3,"Traverse de Beziers, Rdc",34440,Colombiers,Herault,France,43.313579,3.145229
Dr Melka Joel,Clinique Causse,3,Traverse de Beziers,34440,Colombiers,Herault,France,43.313579,3.145229
Dr Mornet Olivier,Clinique du Dr Causse,3,Traverse de Beziers,34440,Colombiers,Herault,France,43.313579,3.145229
Dr Florence Garrel,Mediflow,600,Avenue Marcel Pagnol,34470,Perols,Herault,France,43.561344,3.951484
Dr Enjalbert Bruno,Esthétique Medical,31,Rue Pelisson,34500,Beziers,Herault,France,43.342322,3.216134
Dr Gnanadicom Eric,,20,Place Jean Jaures,34500,Beziers,Herault,France,43.341785,3.216232
Dr la Paquerie Pierre,Espace Domitia,54,Avenue Pierre Verdier,34500,Beziers,Herault,France,43.344971,3.236800
Selarl Dr Prud'Homme Alexandre,,59TER,Avenue Camille Saint Saens,34500,Beziers,Herault,France,43.342499,3.221266
Dr Benjamin Torregrossa,,8,Rue Louis Breguet,34830,Jacou,Herault,France,43.658603,3.902474
Dr Fournier Nathalie,Selarl Centre Laser Dermatologique,,Avenue de l'Europe,34830,Clapiers,Herault,France,43.661240,3.900428
Dr Granier Alain,Mel 610 P.a Clément Ader,8,Rue Louis Breguet,34830,Jacou,Herault,France,43.658603,3.902474
Dr Rauzy Frances Anne,Dr Alain Granier,8,Rue Louis Bréguet,34830,Jacou,Herault,France,43.658603,3.902474
Dr Saussaye Yannick,Domus Medica,4,Avenue Monteroni d'Arbia,34920,Le Cres,Herault,France,43.660251,3.937594
Sarl Dr Camille Planet,,5,Avenue des Chasseurs,34920,Le Cres,Herault,France,43.660937,3.935560
Selarl Dr Marie Albertini,,5,Avenue des Chasseurs,34920,Le Cres,Herault,France,43.660937,3.935560
Dr Berramdani Leila,Forum Sante,,Avenue du Pic St Loup,34980,Saint-Gely-du-Fesc,Herault,France,43.692169,3.807059
La Roseraie du Thabor,Dr Beuzeboc-Gerard Marion,80,Boulevard de la Duchesse Anne,35000,Rennes,Ille-et-Vilaine,France,48.114260,-1.680393
Dr Bocquier Bertrand,,10,Boulevard Villebois Mareuil,35400,Saint Malo,Ille-et-Vilaine,France,48.650846,-2.006977
Dr Cambie Vanderschelden Marie-Paul,,10,Boulevard Villebois Mareuil,35400,Saint Malo,Ille-et-Vilaine,France,48.650846,-2.006977
Dr Manise Olivier,Livraison au Secrétariat,3,Impasse de la Vigie,35400,Saint-Malo,Ille-et-Vilaine,France,48.621558,-1.991734
Dr Heusse Jean-Laurent,,11,Rue Chene Germain,35510,Cesson Sevigne,Ille-et-Vilaine,France,48.130624,-1.624586
Dr Rostane-Renouard Denia,Selarl Dr Rostane-Renouard,,Avenue Saint-Vincent,35760,Saint Gregoire,Ille-et-Vilaine,France,48.143907,-1.683965
Dr Behaghel Marc,Chp,6,Rue de la Boutiere,35768,Saint-Gregoire Cedex,Ille-et-Vilaine,France,48.143859,-1.693020
Dr Elamrani Karim,,6,Boulevard de la Boutiere,35768,Saint-Gregoire Cedex,Ille-et-Vilaine,France,48.144594,-1.687152
Dr Abiliou Vincent,Cabinet Médical,1,Avenue du Chateau Hébert,35800,Dinard,Ille-et-Vilaine,France,48.637698,-2.074706
Centre Cleme 37,Dr Phu Paul et Dr Moussaoui,19,Rue d'Entraigues,37000,Tours,Indre-et-Loire,France,47.388074,0.688381
Clinique des Champs Elysées,Julien Laloux,78,Jardin Francois 1er,37000,Tours,Indre-et-Loire,France,47.395895,0.685988
Dr Abdo Morales Ivana,,15,Place Gaston Pailhou,37000,Tours,Indre-et-Loire,France,47.391360,0.680768
Dr Body Sylvie,Cabinet Medical,24,Rue de Clocheville,37000,Tours,Indre-et-Loire,France,47.391279,0.685241
Dr Delaplace Marion,Cabinet Medical,15,Place Gaston Pailhou,37000,Tours,Indre-et-Loire,France,47.391360,0.680768
Dr Fanous Jamil,Cabinet Medical,30,Boulevard Heurteloup,37000,Tours,Indre-et-Loire,France,47.391160,0.694210
Dr Khallouf Randa,,30,Boulevard Heurteloup,37000,Tours,Indre-et-Loire,France,47.391160,0.694210
Dr Marie-Francoise Guillou Garnier,,16,Avenue de Grammont,37000,Tours,Indre-et-Loire,France,47.387898,0.690016
Dr Marine Darrigade Fleury,,15,Place Gaston Pailhou,37000,Tours,Indre-et-Loire,France,47.391360,0.680768
Dr Muller Christine,,24,Rue de Clocheville,37000,Tours,Indre-et-Loire,France,47.391279,0.685241
Selarl  du Dr Delaplace Marion,,15,Place Gaston Pailhou,37000,Tours,Indre-et-Loire,France,47.391360,0.680768
Dr Besset Marianne,,17,Avenue du Professeur Alexandre,37170,Chambray les Tours,Indre-et-Loire,France,47.333886,0.688003
Pr Arnaud Paré Ei,Chu Trousseau,,Avenue de la République,37170,Chambray les Tours,Indre-et-Loire,France,47.344403,0.713894
Pr Laure Boris,Chu Trousseau Consultation Maxillo,,Avenue de la Republique,37170,Chambray les Tours,Indre-et-Loire,France,47.344403,0.713894
Dr Penaud Alexandre,"Leonard de Vinci -Bat ""le Lucé""",17,Avenue du Prof Minkowski,37175,Chambray les Tours,Indre-et-Loire,France,47.333886,0.688003
Dr Catala-Petavy Carine,Cabinet Médical,13,Rue de Tartifume,37250,Veigne,Indre-et-Loire,France,47.298049,0.719111
Dr Cristea Corina,,12,Allée John Ropper,37250,Montbazon,Indre-et-Loire,France,47.275244,0.708017
Dr Abdallah-Lotf Myriam,Cabinet Medical,5,Rue Laennec,37300,Joue les Tours,Indre-et-Loire,France,47.349715,0.659548
Dr Corven-Benoit Cloe,,5,Rue Laennec,37300,Joue les Tours,Indre-et-Loire,France,47.349715,0.659548
Dr Herard Camille,Clinique Jeanne d'Arc,,Route de Tours,37500,Saint Benoit la Foret,Indre-et-Loire,France,47.187773,0.291160
